date,value
2021-10-01,0.0224727309809524
2021-11-01,-0.0136283159090909
2021-12-01,-0.0163738933227273
2022-01-01,0.0242999779055556
2022-02-01,-0.00102270671
2022-03-01,0.0708634387722222
2022-04-01,0.0864452587263158
2022-05-01,0.0182906002904762
2022-06-01,0.364914342405556
2022-07-01,0.850531181666667
2022-08-01,1.39452164890909
2022-09-01,1.77561776357143
2022-10-01,1.856478664375
2022-11-01,2.70010735764706
2022-12-01,3.25468768857143
2023-01-01,3.64011304526316
2023-02-01,3.9151525091997503
2023-03-01,4.24074570337942
2023-04-01,4.29234186808279
2023-05-01,4.354765466271391
2023-06-01,4.5574547262753695
2023-07-01,4.59542891558489
2023-08-01,4.65530112767106
2023-09-01,4.639770255117
2023-10-01,4.5510196586233
2023-11-01,4.523561000824071
2023-12-01,4.48869934181121
2024-01-01,4.32341314310441
2024-02-01,4.28070902824412
2024-03-01,4.222340110413088
2024-04-01,4.3005288351646715
2024-05-01,4.32490527629862
2024-06-01,4.34275980302538
2024-07-01,4.313295148335049
2024-08-01,4.28734421730051
2024-09-01,4.28738978947696
2024-10-01,4.33032769423275
2024-11-01,4.355494540345809
2024-12-01,4.35946687563313
2025-01-01,4.29376635219745
2025-02-01,4.34724390506754
2025-03-01,4.3198555358885695
2025-04-01,4.3465687276761695
2025-05-01,4.31725263595589
2025-06-01,4.35882840705048
2025-07-01,4.3007701376211
2025-08-01,4.28328233606684
2025-09-01,4.27004959841546
2025-10-01,4.22288622174954
2025-11-01,4.1631034723599
2025-12-01,4.043697059792329
2026-01-01,3.8313400278691914
2026-02-01,3.67063466240388
2026-03-01,3.8290587830216896
2026-04-01,3.8058519363404097
2026-05-01,3.77389840420963
2026-06-01,3.4461340018342894
2026-07-01,3.28006091870769
2026-08-01,3.3053200248362895
