date,value
2021-10-01,3.652100086212158
2021-11-01,3.5636000633239746
2021-12-01,3.5143001079559326
2022-01-01,3.571700096130371
2022-02-01,3.6303000450134277
2022-03-01,3.5483999252319336
2022-04-01,3.5213000774383545
2022-05-01,3.597100019454956
2022-06-01,3.622999906539917
2022-07-01,3.471400022506714
2022-08-01,3.3208999633789062
2022-09-01,3.476900100708008
2022-10-01,3.5129001140594482
2022-11-01,3.5573999881744385
2022-12-01,3.750499963760376
2023-01-01,3.7602999210357666
2023-02-01,3.8828001022338867
2023-03-01,3.91510009765625
2023-04-01,4.003699779510498
2023-05-01,3.974600076675415
2023-06-01,4.017399787902832
2023-07-01,3.870800018310547
2023-08-01,4.130000114440918
2023-09-01,4.026100158691406
2023-10-01,4.281300067901611
2023-11-01,4.039899826049805
2023-12-01,3.9618000984191895
2024-01-01,3.9616000652313232
2024-02-01,3.890000104904175
2024-03-01,3.9674999713897705
2024-04-01,4.0269999504089355
2024-05-01,4.010900020599365
2024-06-01,4.032100200653076
2024-07-01,4.043499946594238
2024-08-01,4.006700038909912
2024-09-01,4.1321001052856445
2024-10-01,4.018199920654297
2024-11-01,3.8369998931884766
2024-12-01,3.790800094604492
2025-01-01,3.7302000522613525
2025-02-01,3.7211999893188477
2025-03-01,3.993499994277954
2025-04-01,4.116799831390381
2025-05-01,3.9851999282836914
2025-06-01,3.7685999870300293
2025-07-01,3.8719000816345215
2025-08-01,3.683500051498413
2025-09-01,3.728800058364868
2025-10-01,3.7632179260253906
2025-11-01,3.7769699096679688
2025-12-01,3.735008955001831
2026-01-01,3.675123929977417
2026-02-01,3.692033052444458
2026-03-01,3.6270968914031982
2026-04-01,3.476902961730957
2026-05-01,3.2678329944610596
2026-06-01,3.411241054534912
2026-07-01,3.524801015853882
2026-08-01,3.2639000415802
2026-09-01,3.4182000160217285
