date,value
2021-10-01,1927.6500244140625
2021-11-01,1954.6199951171875
2021-12-01,2056.510009765625
2022-01-01,2029.47998046875
2022-02-01,2054.919921875
2022-03-01,2097.110107421875
2022-04-01,2109.18994140625
2022-05-01,1965.1800537109375
2022-06-01,1883.81005859375
2022-07-01,2012.199951171875
2022-08-01,2073.860107421875
2022-09-01,1883.9300537109375
2022-10-01,1958.6800537109375
2022-11-01,1884.010009765625
2022-12-01,1813.3499755859375
2023-01-01,1822.8399658203125
2023-02-01,1731.989990234375
2023-03-01,1725.8199462890625
2023-04-01,1754.06005859375
2023-05-01,1747.02001953125
2023-06-01,1775.6500244140625
2023-07-01,1888.97998046875
2023-08-01,1873.760009765625
2023-09-01,1874.43994140625
2023-10-01,1657.97998046875
2023-11-01,1792.6400146484375
2023-12-01,1887.0799560546875
2024-01-01,1861.9200439453125
2024-02-01,1981.1300048828125
2024-03-01,2043.550048828125
2024-04-01,1970.72998046875
2024-05-01,1993.4300537109375
2024-06-01,1953.8900146484375
2024-07-01,1998.02001953125
2024-08-01,2081.679931640625
2024-09-01,2118.449951171875
2024-10-01,2213.639892578125
2024-11-01,2294.820068359375
2024-12-01,2426.830078125
2025-01-01,2500.60009765625
2025-02-01,2542.52001953125
2025-03-01,2446.4599609375
2025-04-01,2557.2099609375
2025-05-01,2724.719970703125
2025-06-01,3022.5
2025-07-01,3083.110107421875
2025-08-01,3115.090087890625
2025-09-01,3248.639892578125
2025-10-01,3338.77001953125
2025-11-01,3479.679931640625
2025-12-01,3654.93994140625
2026-01-01,3995.639892578125
2026-02-01,4074.840087890625
2026-03-01,4016.7900390625
2026-04-01,4313.8798828125
2026-05-01,4430.4599609375
2026-06-01,4010.85009765625
2026-07-01,4071.760009765625
2026-08-01,4056.60009765625
2026-09-01,4164.35009765625
