date,value
2021-10-01,3.1569900512695312
2021-11-01,3.1657700538635254
2021-12-01,3.1042098999023438
2022-01-01,3.201539993286133
2022-02-01,3.2312099933624268
2022-03-01,3.178960084915161
2022-04-01,3.340480089187622
2022-05-01,3.3387999534606934
2022-06-01,3.459120035171509
2022-07-01,3.408129930496216
2022-08-01,3.326970100402832
2022-09-01,3.5631000995635986
2022-10-01,3.531719923019409
2022-11-01,3.4356799125671387
2022-12-01,3.526599884033203
2023-01-01,3.460099935531616
2023-02-01,3.6649999618530273
2023-03-01,3.587660074234009
2023-04-01,3.6344199180603027
2023-05-01,3.7060399055480957
2023-06-01,3.6914799213409424
2023-07-01,3.7006099224090576
2023-08-01,3.7808499336242676
2023-09-01,3.8035800457000732
2023-10-01,4.036779880523682
2023-11-01,3.6821999549865723
2023-12-01,3.597899913787842
2024-01-01,3.658799886703491
2024-02-01,3.592010021209717
2024-03-01,3.683389902114868
2024-04-01,3.7607200145721436
2024-05-01,3.7023799419403076
2024-06-01,3.7648398876190186
2024-07-01,3.7464599609375
2024-08-01,3.6254100799560547
2024-09-01,3.6970200538635254
2024-10-01,3.7002201080322266
2024-11-01,3.634119987487793
2024-12-01,3.653130054473877
2025-01-01,3.5790200233459473
2025-02-01,3.575119972229004
2025-03-01,3.68966007232666
2025-04-01,3.623159885406494
2025-05-01,3.516010046005249
2025-06-01,3.385319948196411
2025-07-01,3.3753700256347656
2025-08-01,3.34335994720459
2025-09-01,3.31358003616333
2025-10-01,3.2542800903320312
2025-11-01,3.264899969100952
2025-12-01,3.1760199069976807
2026-01-01,3.0930399894714355
2026-02-01,3.129120111465454
2026-03-01,3.1637299060821533
2026-04-01,2.971479892730713
2026-05-01,2.821660041809082
2026-06-01,2.986799955368042
2026-07-01,3.0641798973083496
2026-08-01,2.9753000736236572
2026-09-01,3.0220999717712402
