date,value
2021-10-01,98.6553726196289
2021-11-01,99.73277282714844
2021-12-01,99.21015930175781
2022-01-01,97.11378479003906
2022-02-01,96.81849670410156
2022-03-01,92.8867416381836
2022-04-01,88.95925903320312
2022-05-01,89.50936889648438
2022-06-01,88.73649597167969
2022-07-01,91.36441802978516
2022-08-01,87.84339141845703
2022-09-01,83.68399810791016
2022-10-01,82.46723937988281
2022-11-01,85.44617462158203
2022-12-01,84.17465209960938
2023-01-01,87.18905639648438
2023-02-01,84.3373031616211
2023-03-01,87.4755630493164
2023-04-01,88.18828582763672
2023-05-01,86.91983032226562
2023-06-01,85.82876586914062
2023-07-01,85.26947021484375
2023-08-01,84.64620971679688
2023-09-01,81.98932647705078
2023-10-01,80.4087905883789
2023-11-01,84.07098388671875
2023-12-01,87.24235534667969
2024-01-01,87.30573272705078
2024-02-01,85.48746490478516
2024-03-01,86.11424255371094
2024-04-01,83.41908264160156
2024-05-01,84.9207534790039
2024-06-01,85.95421600341797
2024-07-01,88.44450378417969
2024-08-01,89.634765625
2024-09-01,90.87397003173828
2024-10-01,87.79570770263672
2024-11-01,88.69207000732422
2024-12-01,86.68904113769531
2025-01-01,87.22352600097656
2025-02-01,89.66552734375
2025-03-01,89.97212219238281
2025-04-01,90.9223403930664
2025-05-01,89.79527282714844
2025-06-01,91.23373413085938
2025-07-01,90.69188690185547
2025-08-01,92.18663787841797
2025-09-01,92.786865234375
2025-10-01,93.44683837890625
2025-11-01,94.37020874023438
2025-12-01,93.6518783569336
2026-01-01,93.43760681152344
2026-02-01,95.74551391601562
2026-03-01,93.5240249633789
2026-04-01,93.3834228515625
2026-05-01,93.36566925048828
2026-06-01,93.6002426147461
2026-07-01,92.30037689208984
2026-08-01,92.40799713134766
2026-09-01,90.80000305175781
