IL_Equity,US_Equity,EU_Equity,Foreign_Bond,IL_Bond_Unlinked,IL_Bond_Linked,Cash,point,risk,achieved_return
0.1434985001506117,0.14533829173814725,0.09892361823152036,0.15155179193423687,0.2020672875113613,0.1528335291897646,0.10578698124435797,min_risk,0.0006918843918079239,0.05059851105592542
8.000677355272007e-16,0.0,0.9999999999999993,0.0,3.74806329965503e-17,4.377283720971041e-16,5.733137793933e-16,max_return,0.0009782355834107733,0.10215245035509243
0.1583860304074631,0.16845520105385503,0.13191781649501103,0.12930194547973936,0.17744420543333278,0.14095875540134883,0.09353604572924964,k=1,0.0007364338362133089,0.055285232810402096
0.17327376539881972,0.1915721621348744,0.16491181125866533,0.10705203963313244,0.15282102825884958,0.12908408540633134,0.0812851079093272,k=2,0.0007840725922646258,0.059971954564860874
0.18816150308567867,0.21468912383106153,0.19790580361903495,0.08480213299646555,0.1281978505973686,0.11720941470001787,0.06903417117037275,k=3,0.000834800525455238,0.06465867631935399
0.20308302228925773,0.23777298043149395,0.2309197846451269,0.06259059472048555,0.10359715134681344,0.105331740003137,0.05670472656368549,k=4,0.000888354370781333,0.06934539807379721
0.21797712287837198,0.26088589889342245,0.2639166079364259,0.040349675848573574,0.07897967190405172,0.09345488462463312,0.04443613791452133,k=5,0.0009426542195096972,0.07403211982829425
0.232871214791286,0.2839988162746167,0.29691343653262336,0.018108755498780917,0.05436219079867874,0.08157803035797256,0.03216755574604177,k=6,0.000999639584864247,0.07871884158273658
0.2475382571664177,0.30719840100974494,0.330392134188876,1.2705494208814505e-19,0.02791940546715105,0.06838611293694108,0.018565689230869376,k=7,0.0010604673515261691,0.08340556333719903
0.25924539652249906,0.3311257674280283,0.3687271641772612,1.9281463141424427e-18,0.0,0.04090167187221141,0.0,k=8,0.0011291055513894816,0.08809228509168815
0.17700862507753826,0.3391206467539385,0.4838707281685232,0.0,4.038914454924883e-18,3.940793032121466e-18,5.9506818862183944e-18,k=9,0.0011242314106431337,0.09277900684615298
0.0019477055239041753,0.32994030678664715,0.6681119876894487,0.0,0.0,7.216514466991519e-17,0.0,k=10,0.0010691266430486216,0.09746572860062211
