IL_Equity,US_Equity,EU_Equity,Foreign_Bond,IL_Bond_Unlinked,IL_Bond_Linked,Cash,point,risk,achieved_return
0.1447879179643532,0.1437670829859719,0.09525659626488332,0.1516163825509332,0.20356662018595012,0.15383915098146722,0.10716624906644094,min_risk,0.0003469889865234616,0.0503012483729655
8.000677355272007e-16,0.0,0.9999999999999993,0.0,3.74806329965503e-17,4.377283720971041e-16,5.733137793933e-16,max_return,0.001668786144776408,0.10215245035509243
0.159803443867335,0.1669263129009202,0.12842474852428853,0.12909100719688482,0.17869174716241026,0.14201061166687184,0.0950521286812894,k=1,0.00041532889242764477,0.055014994007662785
0.17482139486336584,0.19008677976686097,0.16159015402487512,0.10656551128582657,0.15381582165821717,0.1301824187174344,0.08293791968341994,k=2,0.0004928726985847353,0.05972873964239253
0.18983934582171114,0.2132472458379542,0.19475556021904955,0.08404001487792633,0.1289398966953953,0.11835422492748356,0.07082371162048,k=3,0.0005796193450717691,0.06444248527712791
0.20485729779336767,0.23640771279356101,0.22792096547994564,0.06151452019538826,0.1040639717438905,0.10652603138314087,0.058709500610706046,k=4,0.0006755688355831978,0.06915623091185798
0.2198752509589922,0.2595681811038756,0.26108636840994687,0.03898902204312959,0.07918804756077334,0.09469783835758296,0.046595291565699304,k=5,0.0007807211659283825,0.07386997654662414
0.23489320078529946,0.282728645893496,0.2942517764393687,0.0164635289064284,0.0543121204802442,0.08286964362142361,0.034481083873739715,k=6,0.0008950763355521522,0.07858372218137831
0.2495992959612318,0.3060040055843676,0.32811914185485613,1.3976043629695956e-19,0.026751854080228857,0.0691125856453504,0.020413116873965145,k=7,0.0010224382376724285,0.08329746781610048
0.26176995786500973,0.3300146838884988,0.36683732867475727,0.0,3.216293213931305e-19,0.04137802957173431,1.7292351711057745e-18,k=8,0.0011754904094877163,0.08801121345086733
0.1796672027649279,0.33804111514153423,0.48229168209353795,4.427110901277807e-18,0.0,6.913142360223091e-19,0.0,k=9,0.001309149086511756,0.09272495908561729
0.004183931059664086,0.3277200858811326,0.6680959830592034,1.4037526769244004e-17,4.0870357598120636e-18,0.0,1.1228344579616309e-17,k=10,0.0014877203040508154,0.09743870472035593
