IL_Equity,US_Equity,EU_Equity,Foreign_Bond,IL_Bond_Unlinked,IL_Bond_Linked,Cash,point,risk,achieved_return
0.13291531846551244,0.13748100228853896,0.0931325926731391,0.15741216591108173,0.2066639853420501,0.1577193918162908,0.11467554350338688,min_risk,0.0020952657922834877,0.04923392496856899
2.5066754227864863e-16,3.157196726277789e-16,0.5499999999999998,2.9617692846872767e-16,0.0,0.3999999999999977,0.05000000000000199,max_return,0.0023461025054908845,0.07287839570203299
0.13976181996777248,0.14804060604249233,0.10825895174696362,0.14714012735870607,0.19532176761107253,0.15232535845929232,0.10915136881370062,k=1,0.002158971475238849,0.05138342230794323
0.14661009799589023,0.1586019250703766,0.12338258219253578,0.13686836306144837,0.18397818961797535,0.1469316280095382,0.1036272140522356,k=2,0.002224594562854146,0.053532919647366
0.15345837573457102,0.16916324263197516,0.13850621407449434,0.1265965990304304,0.172634611814047,0.141537897369367,0.09810305934511503,k=3,0.002292131303105173,0.05568241698675943
0.16030665378170345,0.17972456213144955,0.15362984422003903,0.11632483433823891,0.16129103443658968,0.1361441667658681,0.09257890432611134,k=4,0.0023615817000878464,0.0578319143262006
0.16715493199553583,0.190285880628656,0.1687534748770819,0.10605307013679231,0.14994745604445936,0.13075043697482341,0.0870547493426512,k=5,0.002432945750273302,0.05998141166557183
0.16025051054117162,0.19733054442759668,0.19241894503123166,0.09243158047164927,0.1322634087659732,0.13486766823463947,0.09043734252773784,k=6,0.0024685494072598313,0.06213090900499891
0.11583144471027096,0.19478471613986564,0.23938383914986347,0.06967578976977253,0.09728400597060018,0.1649263932531507,0.11811381100647665,k=7,0.002406527252250881,0.06428040634440375
0.0714124266816345,0.19223887093669126,0.28634870238167426,0.04692003061893882,0.06230452444740869,0.1949852246262973,0.14579022030735525,k=8,0.0023515009208104256,0.06642990368381665
0.026993403131024676,0.1896930284417548,0.3333135684272206,0.024164256808142996,0.02732506088922946,0.2250440619348415,0.17346662036778604,k=9,0.002303470348473914,0.0685794010232319
0.0,0.14659483118482047,0.40340516881517957,4.6851596748967806e-18,2.4507301870220953e-18,0.25334293704460165,0.19665706295539828,k=10,0.002259948438108233,0.07072889836262719
