IL_Equity,US_Equity,EU_Equity,Foreign_Bond,IL_Bond_Unlinked,IL_Bond_Linked,Cash,point,risk,achieved_return
0.14751651082449105,0.1475543847132412,0.09902631280955554,0.15059927738329795,0.20102315311640875,0.1514729780410656,0.10280738311193999,min_risk,0.00015141892947347397,0.05090949934448233
2.5066754227864863e-16,3.157196726277789e-16,0.5499999999999998,2.9617692846872767e-16,0.0,0.3999999999999977,0.05000000000000199,max_return,0.0001638835568266605,0.07287839570203299
0.15387141387696968,0.15740653649631392,0.1130801679377029,0.1411283589514253,0.19052695120310514,0.14640542735405324,0.09758114418042996,k=1,0.00016085696211853078,0.05290667174064959
0.16022719248606648,0.16726192610875915,0.1271320349712961,0.13165649385785363,0.18003554139718989,0.14133785583961203,0.09234895533922285,k=2,0.00017075775744726122,0.05490384413676469
0.16669029116225526,0.17691613128209108,0.14127522226200784,0.12213127629273939,0.16958029751360165,0.13629783505181645,0.0871089464354884,k=3,0.00018104595402437785,0.05690101653291491
0.17304703785452993,0.18676768731934165,0.15532934600835505,0.11265834978019147,0.15908913332322366,0.13123121622045253,0.08187722949390572,k=4,0.0001918019259232508,0.05889818892904644
0.17930546652862678,0.1966381578141147,0.1694346292306349,0.10325331144482429,0.14856629885083125,0.12610088182991105,0.07670125430105715,k=5,0.00020286217722479433,0.060895361325155536
0.14517613017023123,0.19613805008280283,0.20868581974696598,0.08401326956609614,0.11952003633412954,0.14884116696379002,0.0976255271359843,k=6,0.00019317701404126131,0.062892533721323
0.10375017583295598,0.1937716587136125,0.2524781654534316,0.06301098195720825,0.08712946102455114,0.17659568605499038,0.12326387096325009,k=7,0.00018227153931732468,0.06488970611747628
0.062324235609286883,0.19140524778523382,0.2962705166054793,0.042008690312538136,0.0547388835508653,0.20435020076008362,0.148902225376513,k=8,0.00017410241016697518,0.06688687851360337
0.02088018379353095,0.18903378955798095,0.34008602664848814,0.020944408989572925,0.02242755959744184,0.23206853116995102,0.1745595002430342,k=9,0.0001683725759095421,0.06888405090975841
0.0,0.13589499816031286,0.4141050018396871,0.0,0.0,0.25658221541444304,0.193417784585557,k=10,0.00015778306045221554,0.07088122330589201
