IL_Equity,US_Equity,EU_Equity,Foreign_Bond,IL_Bond_Unlinked,IL_Bond_Linked,Cash,point,risk,achieved_return
0.08231866216124423,0.0825404699439641,0.035140867894791684,0.22342038642267883,0.22457807582106082,0.1754219241789392,0.17657961357732121,min_risk,0.0007656637640086044,0.03935694429776372
3.184572831133048e-16,2.6473506546664805e-16,0.19999999999999973,7.773729576721067e-17,4.698661165009055e-16,0.39999999999999913,0.40000000000000013,max_return,0.0006512258902959201,0.04991943595933317
0.062297086948947776,0.081412695549942,0.05629021750111022,0.21221136024581752,0.21008263631778606,0.18991736368221393,0.18778863975418256,k=1,0.0007552192206044571,0.04031717081245115
0.04227545236762289,0.08028501160882436,0.07743953602355276,0.20100237247780806,0.19558718208022396,0.20441281791977603,0.19899762752219194,k=2,0.0007453015607653928,0.04127739732713927
0.022156843035197802,0.07930378185213235,0.09853937511266984,0.18977432549012788,0.18113209993487422,0.21886790006512577,0.21022567450987212,k=3,0.0007359102494049082,0.042237623841813274
0.0020778068489431447,0.07823132611724008,0.11969086703381678,0.17856649700489471,0.16667512145236732,0.23332487854763273,0.22143350299510522,k=4,0.0007263405633385615,0.043197850356516077
0.0,0.061590053577889416,0.1384099464221106,0.16075312862892213,0.1436451830299706,0.2563548169700294,0.2392468713710777,k=5,0.000714975002541145,0.04415807687105351
3.5331438295871376e-17,0.04315768491805464,0.15684231508194532,0.14217120600417002,0.11962585812750154,0.28037414187249843,0.2578287939958302,k=6,0.0007038621930361219,0.04511830338554916
4.6349642873755315e-17,0.024725372081963227,0.17527462791803675,0.12358921918072827,0.09560654001904723,0.3043934599809527,0.2764107808192719,k=7,0.0006932373445902148,0.0460785299002372
3.902538868351678e-18,0.00629302335134,0.19370697664866,0.10500726943161581,0.07158722077812348,0.32841277922187656,0.2949927305683841,k=8,0.0006831004667970785,0.04703875641526876
3.08455518072126e-17,1.3552527156068805e-17,0.19999999999999998,0.08189493389208911,0.04173344776444641,0.3582665522355536,0.31810506610791084,k=9,0.0006738314262096328,0.04799898292985574
7.83336069620777e-18,0.0,0.20000000000000004,0.05643368538598551,0.008855376123895637,0.3911446238761045,0.3435663146140143,k=10,0.0006650622489044686,0.04895920944457405
