IL_Equity,US_Equity,EU_Equity,Foreign_Bond,IL_Bond_Unlinked,IL_Bond_Linked,Cash,point,risk,achieved_return
0.14770350949019737,0.14762075785355322,0.09917779539118171,0.15050665582384432,0.2009808312300207,0.1513618900372972,0.10264856017390554,min_risk,0.00013345359420993786,0.0509322446269357
8.000677355272007e-16,0.0,0.9999999999999993,0.0,3.74806329965503e-17,4.377283720971041e-16,5.733137793933e-16,max_return,0.00037400700124783114,0.10215245035509243
0.16252431527678746,0.17058947102619265,0.13194436839127188,0.12842313126371246,0.1765172224957351,0.13954734538099875,0.09045414616530179,k=1,0.0001546173902013526,0.05558862696588328
0.1773451579622977,0.1935581520408555,0.16471089605326183,0.10633950341656997,0.1520535224680415,0.12773296457819783,0.07825980348077574,k=2,0.0001782709907434865,0.060245009304809916
0.19216599894956832,0.21652683256213864,0.19747742526635534,0.08425587658511767,0.12758982210951916,0.1159185827616834,0.06606546176561748,k=3,0.00020441442519272796,0.06490139164370708
0.2069869436833713,0.23949534610292145,0.23024413342565136,0.06217127726754194,0.10312733562478785,0.10410486821524104,0.05387009568048519,k=4,0.00023304782186763662,0.06955777398262802
0.22167727686763597,0.2624903065773462,0.2630790150879632,0.04017913302035409,0.0786255558771378,0.09220535924884375,0.04174335332071895,k=5,0.00026313257031732225,0.07421415632154137
0.23647162974446911,0.2854652913134406,0.29585970180626514,0.018117370672887115,0.05415530993590368,0.08037179736690807,0.029558899160126093,k=6,0.0002954179552360006,0.07887053866049804
0.2510510172687986,0.3085231067666798,0.3290992346715774,2.0625252265642213e-19,0.02794273174173577,0.06728161427463196,0.0161022952765765,k=7,0.00033058206130840757,0.08352692099939125
0.2623510721068599,0.3321106203245402,0.3674943966516441,2.50253133999333e-19,0.0,0.03804391091695589,1.5476162049438453e-19,k=8,0.00037128691427106144,0.08818330333832876
0.17477824441799833,0.33893484931327633,0.48628690626872534,0.0,3.631200053190724e-18,7.994168377260655e-18,2.2436289609013224e-18,k=9,0.00038755998202547965,0.09283968567724576
0.0013683600458252074,0.32885454580666984,0.669777094147505,0.0,0.0,1.335161080999056e-16,0.0,k=10,0.00041231945643374645,0.0974960680161691
