IL_Equity,US_Equity,EU_Equity,Foreign_Bond,IL_Bond_Unlinked,IL_Bond_Linked,Cash,point,risk,achieved_return
0.08301340957199724,0.08288213505292016,0.03410445537508261,0.22404736194730154,0.22485473727918648,0.17514526272081354,0.17595263805269837,min_risk,7.985238442222544e-05,0.03932013474945759
3.184572831133048e-16,2.6473506546664805e-16,0.19999999999999973,7.773729576721067e-17,4.698661165009055e-16,0.39999999999999913,0.40000000000000013,max_return,3.151226058601e-05,0.04991943595933317
0.06296573441910594,0.08173342450849444,0.05530084107239964,0.21275526989884458,0.21029369034463358,0.18970630965536645,0.18724473010115536,k=1,7.528826782305128e-05,0.04028370758671845
0.042923668265566574,0.08056981833158244,0.07650651340285099,0.20145463363825417,0.19574273793622965,0.20425726206377037,0.19854536636174575,k=2,7.125670234706668e-05,0.04124728042398077
0.02287272026707538,0.0794247881664375,0.09770249156648715,0.19016539181969683,0.1811813160809713,0.21881868391902873,0.20983460818030317,k=3,6.787402489508962e-05,0.042210853261240515
0.00282177427021696,0.07827975049390987,0.11889847523587317,0.17887615122482725,0.16661989620157214,0.23338010379842788,0.2211238487751728,k=4,6.516449448151296e-05,0.04317442609850478
2.6881867747981003e-17,0.0622249508464347,0.13777504915356528,0.1612667298746578,0.14385829431215844,0.25614170568784156,0.23873327012534226,k=5,5.9989851302373434e-05,0.044137998935764686
0.0,0.04372737197059343,0.15627262802940659,0.14262318015208322,0.1197535869252801,0.28024641307471987,0.25737681984791666,k=6,5.482127034483956e-05,0.04510157177340923
0.0,0.025229590219984364,0.17477040978001568,0.12397986978958313,0.09564885015951113,0.30435114984048894,0.2760201302104168,k=7,5.016105711526233e-05,0.04606514461028752
0.0,0.006728199903204835,0.1932718000967952,0.10532102151347357,0.07155894371217533,0.32844105628782466,0.29467897848652647,k=8,4.5960267403007554e-05,0.0470287174475489
2.17653586126465e-17,1.0462550964485118e-17,0.2,0.08229427104653488,0.041790513088171055,0.3582094869118289,0.3177057289534651,k=9,4.181431831178403e-05,0.047992290284699965
0.0,0.0,0.20000000000000004,0.05675864812376024,0.00878672871532233,0.39121327128467764,0.34324135187623983,k=10,3.7861186444306495e-05,0.04895586312207176
