IL_Equity,US_Equity,EU_Equity,Foreign_Bond,IL_Bond_Unlinked,IL_Bond_Linked,Cash,point,risk,achieved_return
0.13287827855311687,0.13281974873260569,0.08430197271427745,0.16165512339433258,0.2121271133522693,0.1624871666451719,0.11373059660822614,min_risk,0.00011972625391780639,0.04825945727212689
0.0,0.0,0.3500000000000004,4.85722573273506e-17,2.177077962350893e-16,0.39999999999999913,0.25000000000000094,max_return,7.095972447620109e-05,0.05975899013477598
0.11120149441222141,0.13157712747297048,0.1072213781148081,0.1506508091352853,0.1951735029429372,0.1770258168016648,0.12714987112011264,k=1,0.00011366151529452827,0.04930486935054827
0.08952458464942954,0.13033476826732524,0.1301406470832452,0.1396467492999461,0.17821966552623122,0.19156448162362041,0.14056910355020216,k=2,0.00010839758501349336,0.05035028142896743
0.06784767224510059,0.1290924124146186,0.1530599153402808,0.1286426923610957,0.16126582692591515,0.20610314394500995,0.1539883367679792,k=3,0.00010393442433444407,0.05139569350739918
0.04617076676282049,0.12785004893841861,0.17597918429876092,0.11763862693108697,0.14431199126101935,0.22064181390578194,0.16740756790211173,k=4,0.00010027203153975192,0.052441105585806384
0.024493853441049925,0.12660769304810257,0.19889845351084748,0.10663457018556165,0.12735815382742957,0.23518047442730403,0.18082680155970488,k=5,9.741040926995638e-05,0.053486517664240875
0.002825714069612937,0.12534203030001287,0.2218322556303742,0.09557021836166452,0.11045956485750852,0.24975500509364534,0.19421521168718164,k=6,9.527803140743239e-05,0.05453192974266176
0.0,0.10782696637548163,0.2421730336245184,0.07843348897549529,0.0838456644351081,0.27247411078587885,0.21524673580351789,k=7,8.923204625130226e-05,0.055577341821082996
3.140131129972983e-17,0.08787248635001033,0.26212751364998965,0.06037553001901162,0.055785556516231745,0.2964208806450961,0.23741803281966062,k=8,8.308092424993488e-05,0.0566227538995095
1.2073660569722e-17,0.06791799482259264,0.28208200517740734,0.04231761237082209,0.02772542325744142,0.3203676114435628,0.25958935292817376,k=9,7.75019944063695e-05,0.057668165977929425
0.0,0.04783693119114683,0.3021630688088532,0.023967548468801447,0.0,0.344297276987133,0.28173517454406577,k=10,7.247357244969439e-05,0.05871357805636117
