IL_Equity,US_Equity,EU_Equity,Foreign_Bond,IL_Bond_Unlinked,IL_Bond_Linked,Cash,point,risk,achieved_return
0.14435229016748818,0.14346470878857462,0.09536626039475611,0.15168785997879577,0.20354706845701465,0.1541107017380846,0.10747111047528599,min_risk,0.00039472647093709816,0.050275120866274316
1.3536373702595086e-16,5.828670879282072e-16,0.9999999999999998,0.0,0.0,0.0,9.438188216797662e-17,max_return,0.0017050556766794451,0.10215245035509243
0.15937539312830834,0.16663560538250824,0.12855112246893147,0.12915113169448109,0.17865966559637772,0.14227620110948566,0.09535088061990765,k=1,0.0004648972847815062,0.054991241728905384
0.17440091309766664,0.18980774243280657,0.16173323891264269,0.1066142848316459,0.15377120502754765,0.1304420483747789,0.08323056732291169,k=2,0.0005442814362255956,0.0597073625915556
0.18942643109218235,0.21297987999655502,0.19491535635357635,0.08407743922145246,0.12888274423298188,0.11860789546493443,0.07111025363831755,k=3,0.0006328777056111379,0.06442348345410463
0.20445194876650527,0.23615201579249573,0.22809747550580042,0.061540592178094544,0.10399428499400397,0.10677374053594116,0.058989942227158934,k=4,0.0007306860909076101,0.06913960431673359
0.21947747015449431,0.2593241562060647,0.2612795884305907,0.039003746285795025,0.07910582359794657,0.0949395886582823,0.046869626666826376,k=5,0.0008377065996397622,0.0738557251794168
0.2345029867409436,0.2824962898579631,0.29446171055343423,0.01646690015078347,0.05421736596425465,0.08310543336553608,0.034749313367084755,k=6,0.0009539392213247391,0.07857184604196844
0.24921623780406807,0.3057834743790908,0.3283467096059583,0.0,0.026641030174861687,0.06933987666275211,0.02067267137326902,k=7,0.0010832392115672751,0.08328796690456679
0.26142306555362604,0.3298233006716133,0.36708559805079216,5.042711496064091e-19,0.0,0.04166803572396838,0.0,k=8,0.0012387792246879989,0.08800408776723369
0.1798863609555276,0.33797312391610307,0.48214051512836936,0.0,0.0,7.474145860361033e-19,2.1253875742793196e-17,k=9,0.0013693110410231055,0.09272020862985525
0.004314654684365445,0.3276469117541778,0.6680384335614568,0.0,5.002241730081492e-18,0.0,4.92583651751025e-17,k=10,0.0015377478647384058,0.0974363294924726
