date,IL_Equity,US_Equity,EU_Equity,Foreign_Bond,IL_Bond_Unlinked,IL_Bond_Linked,Cash
2022-04-01,0.005760228774647214,-0.08795671180434306,-0.025537322450775224,-0.042282488713824895,-0.015533333333333349,-0.007883559005011647,7.203771560526316e-05
2022-05-01,-0.06827734423922849,5.317770464463578e-05,-0.0035894421826705436,0.006183840437294252,-0.011866666666666678,-0.006443618807843818,1.5242166908730166e-05
2022-06-01,-0.041405872690155165,-0.08391999993382682,-0.08823735210304962,-0.008634547805811188,-0.026916666666666658,-0.022600876499857717,0.0003040952853379633
2022-07-01,0.06815437256660961,0.09111639173021002,0.0732996365584686,0.02961489553232055,0.028766666666666652,0.03950696719276996,0.0007087759847222225
2022-08-01,0.030643155623818696,-0.04244012827299837,-0.05146843198134787,-0.038538270009887854,0.003550000000000016,0.00036224099458078297,0.0011621013740909082
2022-09-01,-0.09158286667033189,-0.09339567201327437,-0.05659252223416733,-0.04735009934592449,-0.03381666666666667,-0.03168407803501878,0.0014796814696428585
2022-10-01,0.03967769389991882,0.0798634138370089,0.09021158829952625,-0.014539921078559614,-0.013325000000000024,-0.006942704191721154,0.0015470655536458334
2022-11-01,-0.03812263457926246,0.053752893352493114,0.09597127547774087,0.0361226502075187,0.008308333333333348,0.009365610664459276,0.0022500894647058834
2022-12-01,-0.03750512673150708,-0.05897147407473047,-0.043155596052167344,-0.014880976563361514,-0.005591666666666665,-0.002423184637512236,0.002712239740476192
2023-01-01,0.00523340246623305,0.0617528578346791,0.09748737793998807,0.03581130686834144,0.004883333333333345,0.0069880650787095214,0.0030334275377192996
2023-02-01,-0.04983979794685556,-0.02611249393181858,0.01799701785417329,-0.032707696960214694,-0.012433333333333338,-0.007181181499064812,0.003262627090999792
2023-03-01,-0.003562401619005673,0.03505161257710898,0.018089440775687082,0.037210816211199704,-0.017091666666666665,-0.012912080215196457,0.0035339547528161833
2023-04-01,0.016363301609423786,0.014642341662481018,0.010257182630469153,0.008147678659907509,0.002516666666666695,0.009801180088754718,0.003576951556735658
2023-05-01,-0.004013567852485078,0.002482347368192972,-0.03240650874391382,-0.01438349201899991,0.00805833333333328,0.01012392789666672,0.0036289712218928257
2023-06-01,0.01638790887496211,0.06472746490423464,0.04292273259874979,-0.012552537770492034,0.00661666666666667,0.00661666666666667,0.003797878938562808
2023-07-01,0.06382448933994445,0.031138932355010862,0.016417081125623456,-0.006516412634309687,0.0010416666666667033,0.004135020136913121,0.0038295240963207417
2023-08-01,-0.00805724298854038,-0.017716390070854016,-0.038959542735733876,-0.007309304214937806,-0.006541666666666704,-0.0014028726253017352,0.0038794176063925503
2023-09-01,0.0003628701845921345,-0.048719367465624885,-0.028495828807539092,-0.03138809461918379,-0.0027591666666666372,-0.003781849358631342,0.0038664752125975
2023-10-01,-0.11547980607749242,-0.02197968873798295,-0.027197432800012744,-0.019277337143564388,-0.02316,-0.019065973957817325,0.0037925163821860837
2023-11-01,0.08121933664218073,0.08917926878197013,0.0791284395396803,0.04554468823050706,0.01125833333333336,0.008200555555555645,0.003769634167353393
2023-12-01,0.05268204471312732,0.04422923115636013,0.03175827345696236,0.03772254484655724,0.025691666666666627,0.025691666666666627,0.003740582784842675
2024-01-01,-0.013332721821695759,0.015895707598991615,0.02803180315537035,0.0007264519638339184,-0.020225,-0.020225,0.0036028442859203417
2024-02-01,0.06402528471893998,0.05172064062372317,0.049343886499922274,-0.02082644249662491,-0.002649999999999986,0.00041715646064416313,0.003567257523536767
2024-03-01,0.03150729320714363,0.031018779915342964,0.042160639292197155,0.007331807647166455,0.004341666666666638,0.010458111111111229,0.003518616758677574
2024-04-01,-0.03563410076554463,-0.04161507173789869,-0.031907595580147,-0.0312974930996851,-0.019875,-0.01176990768022437,0.0035837740293038936
2024-05-01,0.011518611614559138,0.0480211901511991,0.01268988265204718,0.018001526627355213,-0.0016083333333332993,0.00040208684799005866,0.00360408773024885
2024-06-01,-0.019835177556841277,0.03466980128308328,-0.017988731948367254,0.01216972862434118,-0.004308333333333379,-0.003306014706212522,0.0036189665025211496
2024-07-01,0.022585715957381014,0.011321316887868749,-0.004307313423498993,0.028972258680862062,0.006858333333333365,0.01287059201511016,0.0035944126236125413
2024-08-01,0.04187140834004377,0.022834706936630367,0.017451485157840674,0.013457725351987637,0.011666666666666693,0.020630723586387158,0.003572786847750425
2024-09-01,0.01766362780961761,0.020196884090601275,0.008566031934589269,0.013825042081581085,-0.007100000000000029,-0.009073836551183469,0.003572824824564134
2024-10-01,0.04493376931260196,-0.009896743303151712,-0.03456095066440312,-0.03387397213994792,0.0034083333333333613,0.00835397781963855,0.0036086064118606253
2024-11-01,0.03667271088374857,0.057301295482098835,-0.004811880991841155,0.010209636987305482,0.018633333333333318,0.014695602352110575,0.0036295787836215076
2024-12-01,0.05752521149076517,-0.02499013704848363,0.019061710096264894,-0.02258408073532947,0.021225000000000015,0.018260888156477494,0.003632889063027608
2025-01-01,0.03039768634656359,0.0270163042404441,0.07983899817362516,0.006165541298724042,0.0037249999999999996,0.009671712067132819,0.0035781386268312083
2025-02-01,0.01676394474841869,-0.014242092699825126,0.03341673200948314,0.027997049130369822,0.014791666666666647,0.014791666666666647,0.0036227032542229497
2025-03-01,-0.03778143647083654,-0.05754469768137538,-0.03937921216015616,0.0034193168513627636,-0.0019416666666666332,0.0029844882606481077,0.0035998796132404747
